model,threshold,true_negatives,false_positives,false_negatives,true_positives,business_cost,precision,recall,f1
Random Forest,0.83,7729,0,170,101,1700,1.0,0.3726937269372694,0.543010752688172
Random Forest,0.84,7729,0,177,94,1770,1.0,0.34686346863468637,0.5150684931506849
Random Forest,0.85,7729,0,182,89,1820,1.0,0.3284132841328413,0.49444444444444446
Random Forest,0.86,7729,0,189,82,1890,1.0,0.3025830258302583,0.46458923512747874
Random Forest,0.87,7729,0,195,76,1950,1.0,0.28044280442804426,0.43804034582132567
Random Forest,0.88,7729,0,202,69,2020,1.0,0.25461254612546125,0.40588235294117647
Random Forest,0.89,7729,0,203,68,2030,1.0,0.25092250922509224,0.40117994100294985
Random Forest,0.9,7729,0,215,56,2150,1.0,0.2066420664206642,0.3425076452599388
Random Forest,0.91,7729,0,219,52,2190,1.0,0.1918819188191882,0.3219814241486068
Random Forest,0.92,7729,0,224,47,2240,1.0,0.17343173431734318,0.29559748427672955
Random Forest,0.93,7729,0,233,38,2330,1.0,0.14022140221402213,0.2459546925566343
Random Forest,0.94,7729,0,241,30,2410,1.0,0.11070110701107011,0.19933554817275748
Random Forest,0.95,7729,0,247,24,2470,1.0,0.08856088560885608,0.16271186440677965
Random Forest,0.96,7729,0,252,19,2520,1.0,0.07011070110701106,0.1310344827586207
Random Forest,0.97,7729,0,264,7,2640,1.0,0.025830258302583026,0.050359712230215826
Random Forest,0.98,7729,0,268,3,2680,1.0,0.01107011070110701,0.021897810218978103
Random Forest,0.99,7729,0,269,2,2690,1.0,0.007380073800738007,0.014652014652014652
Hist Gradient Boosting,0.01,7172,557,19,252,747,0.311495673671199,0.9298892988929889,0.4666666666666667
Hist Gradient Boosting,0.02,7334,395,23,248,625,0.3856920684292379,0.915129151291513,0.5426695842450766
Hist Gradient Boosting,0.03,7424,305,28,243,585,0.44343065693430656,0.8966789667896679,0.5934065934065934
Hist Gradient Boosting,0.04,7479,250,29,242,540,0.491869918699187,0.8929889298892989,0.6343381389252949
Hist Gradient Boosting,0.05,7510,219,32,239,539,0.5218340611353712,0.8819188191881919,0.6556927297668038
Hist Gradient Boosting,0.06,7535,194,32,239,514,0.5519630484988453,0.8819188191881919,0.6789772727272727
Hist Gradient Boosting,0.07,7556,173,34,237,513,0.5780487804878048,0.8745387453874539,0.6960352422907489
Hist Gradient Boosting,0.08,7575,154,36,235,514,0.6041131105398457,0.8671586715867159,0.7121212121212122
Hist Gradient Boosting,0.09,7581,148,36,235,508,0.6135770234986945,0.8671586715867159,0.7186544342507645
Hist Gradient Boosting,0.1,7594,135,36,235,495,0.6351351351351351,0.8671586715867159,0.733229329173167
Hist Gradient Boosting,0.11,7602,127,38,233,507,0.6472222222222223,0.8597785977859779,0.7385103011093502
Hist Gradient Boosting,0.12,7607,122,39,232,512,0.655367231638418,0.8560885608856088,0.7424
Hist Gradient Boosting,0.13,7614,115,41,230,525,0.6666666666666666,0.8487084870848709,0.7467532467532467
Hist Gradient Boosting,0.14,7619,110,41,230,520,0.6764705882352942,0.8487084870848709,0.7528641571194763
Hist Gradient Boosting,0.15,7625,104,42,229,524,0.6876876876876877,0.8450184501845018,0.7582781456953642
Hist Gradient Boosting,0.16,7629,100,43,228,530,0.6951219512195121,0.8413284132841329,0.7612687813021702
Hist Gradient Boosting,0.17,7631,98,43,228,528,0.6993865030674846,0.8413284132841329,0.7638190954773869
Hist Gradient Boosting,0.18,7638,91,45,226,541,0.7129337539432177,0.8339483394833949,0.7687074829931972
Hist Gradient Boosting,0.19,7641,88,45,226,538,0.7197452229299363,0.8339483394833949,0.7726495726495727
Hist Gradient Boosting,0.2,7643,86,46,225,546,0.7234726688102894,0.8302583025830258,0.7731958762886598
Hist Gradient Boosting,0.21,7644,85,46,225,545,0.7258064516129032,0.8302583025830258,0.774526678141136
Hist Gradient Boosting,0.22,7647,82,46,225,542,0.7328990228013029,0.8302583025830258,0.7785467128027682
Hist Gradient Boosting,0.23,7649,80,46,225,540,0.7377049180327869,0.8302583025830258,0.78125
Hist Gradient Boosting,0.24,7654,75,46,225,535,0.75,0.8302583025830258,0.7880910683012259
Hist Gradient Boosting,0.25,7656,73,47,224,543,0.7542087542087542,0.8265682656826568,0.7887323943661971
Hist Gradient Boosting,0.26,7659,70,48,223,550,0.7610921501706485,0.8228782287822878,0.7907801418439716
Hist Gradient Boosting,0.27,7662,67,48,223,547,0.7689655172413793,0.8228782287822878,0.7950089126559715
Hist Gradient Boosting,0.28,7665,64,49,222,554,0.7762237762237763,0.8191881918819188,0.7971274685816876
Hist Gradient Boosting,0.29,7669,60,49,222,550,0.7872340425531915,0.8191881918819188,0.8028933092224232
Hist Gradient Boosting,0.3,7670,59,49,222,549,0.7900355871886121,0.8191881918819188,0.8043478260869565
Hist Gradient Boosting,0.31,7671,58,49,222,548,0.7928571428571428,0.8191881918819188,0.8058076225045372
Hist Gradient Boosting,0.32,7671,58,49,222,548,0.7928571428571428,0.8191881918819188,0.8058076225045372
Hist Gradient Boosting,0.33,7673,56,49,222,546,0.7985611510791367,0.8191881918819188,0.8087431693989071
Hist Gradient Boosting,0.34,7675,54,49,222,544,0.8043478260869565,0.8191881918819188,0.8117001828153565
Hist Gradient Boosting,0.35,7677,52,49,222,542,0.8102189781021898,0.8191881918819188,0.8146788990825689
Hist Gradient Boosting,0.36,7678,51,49,222,541,0.8131868131868132,0.8191881918819188,0.8161764705882353
Hist Gradient Boosting,0.37,7681,48,49,222,538,0.8222222222222222,0.8191881918819188,0.8207024029574861
Hist Gradient Boosting,0.38,7682,47,49,222,537,0.8252788104089219,0.8191881918819188,0.8222222222222222
Hist Gradient Boosting,0.39,7682,47,49,222,537,0.8252788104089219,0.8191881918819188,0.8222222222222222
Hist Gradient Boosting,0.4,7685,44,50,221,544,0.8339622641509434,0.8154981549815498,0.8246268656716418
Hist Gradient Boosting,0.41,7687,42,50,221,542,0.8403041825095057,0.8154981549815498,0.8277153558052435
Hist Gradient Boosting,0.42,7688,41,50,221,541,0.8435114503816794,0.8154981549815498,0.8292682926829268
Hist Gradient Boosting,0.43,7689,40,50,221,540,0.8467432950191571,0.8154981549815498,0.8308270676691729
Hist Gradient Boosting,0.44,7691,38,50,221,538,0.8532818532818532,0.8154981549815498,0.8339622641509434
Hist Gradient Boosting,0.45,7691,38,50,221,538,0.8532818532818532,0.8154981549815498,0.8339622641509434
Hist Gradient Boosting,0.46,7694,35,50,221,535,0.86328125,0.8154981549815498,0.8387096774193549
Hist Gradient Boosting,0.47,7694,35,51,220,545,0.8627450980392157,0.8118081180811808,0.8365019011406845
Hist Gradient Boosting,0.48,7695,34,51,220,544,0.8661417322834646,0.8118081180811808,0.8380952380952381
Hist Gradient Boosting,0.49,7695,34,51,220,544,0.8661417322834646,0.8118081180811808,0.8380952380952381
Hist Gradient Boosting,0.5,7696,33,51,220,543,0.8695652173913043,0.8118081180811808,0.8396946564885496
Hist Gradient Boosting,0.51,7696,33,51,220,543,0.8695652173913043,0.8118081180811808,0.8396946564885496
Hist Gradient Boosting,0.52,7698,31,51,220,541,0.8764940239043825,0.8118081180811808,0.842911877394636
Hist Gradient Boosting,0.53,7698,31,51,220,541,0.8764940239043825,0.8118081180811808,0.842911877394636
Hist Gradient Boosting,0.54,7699,30,51,220,540,0.88,0.8118081180811808,0.8445297504798465
Hist Gradient Boosting,0.55,7699,30,52,219,550,0.8795180722891566,0.8081180811808119,0.8423076923076923
Hist Gradient Boosting,0.56,7700,29,52,219,549,0.8830645161290323,0.8081180811808119,0.8439306358381503
Hist Gradient Boosting,0.57,7700,29,52,219,549,0.8830645161290323,0.8081180811808119,0.8439306358381503
Hist Gradient Boosting,0.58,7701,28,52,219,548,0.8866396761133604,0.8081180811808119,0.8455598455598455
Hist Gradient Boosting,0.59,7702,27,53,218,557,0.889795918367347,0.8044280442804428,0.8449612403100775
Hist Gradient Boosting,0.6,7702,27,53,218,557,0.889795918367347,0.8044280442804428,0.8449612403100775
Hist Gradient Boosting,0.61,7702,27,53,218,557,0.889795918367347,0.8044280442804428,0.8449612403100775
Hist Gradient Boosting,0.62,7704,25,53,218,555,0.897119341563786,0.8044280442804428,0.8482490272373541
Hist Gradient Boosting,0.63,7705,24,54,217,564,0.9004149377593361,0.8007380073800738,0.84765625
Hist Gradient Boosting,0.64,7705,24,54,217,564,0.9004149377593361,0.8007380073800738,0.84765625
Hist Gradient Boosting,0.65,7706,23,54,217,563,0.9041666666666667,0.8007380073800738,0.8493150684931506
Hist Gradient Boosting,0.66,7706,23,54,217,563,0.9041666666666667,0.8007380073800738,0.8493150684931506
Hist Gradient Boosting,0.67,7707,22,54,217,562,0.9079497907949791,0.8007380073800738,0.8509803921568627
Hist Gradient Boosting,0.68,7708,21,54,217,561,0.9117647058823529,0.8007380073800738,0.8526522593320236
Hist Gradient Boosting,0.69,7710,19,54,217,559,0.9194915254237288,0.8007380073800738,0.8560157790927022
Hist Gradient Boosting,0.7,7710,19,54,217,559,0.9194915254237288,0.8007380073800738,0.8560157790927022
Hist Gradient Boosting,0.71,7710,19,54,217,559,0.9194915254237288,0.8007380073800738,0.8560157790927022
Hist Gradient Boosting,0.72,7710,19,54,217,559,0.9194915254237288,0.8007380073800738,0.8560157790927022
Hist Gradient Boosting,0.73,7710,19,54,217,559,0.9194915254237288,0.8007380073800738,0.8560157790927022
Hist Gradient Boosting,0.74,7710,19,54,217,559,0.9194915254237288,0.8007380073800738,0.8560157790927022
Hist Gradient Boosting,0.75,7710,19,54,217,559,0.9194915254237288,0.8007380073800738,0.8560157790927022
Hist Gradient Boosting,0.76,7710,19,54,217,559,0.9194915254237288,0.8007380073800738,0.8560157790927022
Hist Gradient Boosting,0.77,7710,19,54,217,559,0.9194915254237288,0.8007380073800738,0.8560157790927022
Hist Gradient Boosting,0.78,7711,18,54,217,558,0.9234042553191489,0.8007380073800738,0.857707509881423
Hist Gradient Boosting,0.79,7711,18,54,217,558,0.9234042553191489,0.8007380073800738,0.857707509881423
Hist Gradient Boosting,0.8,7711,18,54,217,558,0.9234042553191489,0.8007380073800738,0.857707509881423
Hist Gradient Boosting,0.81,7711,18,55,216,568,0.9230769230769231,0.7970479704797048,0.8554455445544554
Hist Gradient Boosting,0.82,7711,18,56,215,578,0.9227467811158798,0.7933579335793358,0.8531746031746031
Hist Gradient Boosting,0.83,7711,18,56,215,578,0.9227467811158798,0.7933579335793358,0.8531746031746031
Hist Gradient Boosting,0.84,7711,18,57,214,588,0.9224137931034483,0.7896678966789668,0.8508946322067594
Hist Gradient Boosting,0.85,7711,18,58,213,598,0.922077922077922,0.7859778597785978,0.848605577689243
Hist Gradient Boosting,0.86,7711,18,58,213,598,0.922077922077922,0.7859778597785978,0.848605577689243
Hist Gradient Boosting,0.87,7711,18,58,213,598,0.922077922077922,0.7859778597785978,0.848605577689243
Hist Gradient Boosting,0.88,7712,17,60,211,617,0.9254385964912281,0.7785977859778598,0.845691382765531
Hist Gradient Boosting,0.89,7712,17,62,209,637,0.9247787610619469,0.7712177121771218,0.8410462776659959
Hist Gradient Boosting,0.9,7712,17,65,206,667,0.9237668161434978,0.7601476014760148,0.8340080971659919
Hist Gradient Boosting,0.91,7712,17,65,206,667,0.9237668161434978,0.7601476014760148,0.8340080971659919
Hist Gradient Boosting,0.92,7713,16,68,203,696,0.9269406392694064,0.7490774907749077,0.8285714285714286
Hist Gradient Boosting,0.93,7714,15,70,201,715,0.9305555555555556,0.7416974169741697,0.8254620123203286
Hist Gradient Boosting,0.94,7715,14,72,199,734,0.9342723004694836,0.7343173431734318,0.8223140495867769
Hist Gradient Boosting,0.95,7716,13,74,197,753,0.9380952380952381,0.7269372693726938,0.8191268191268192
Hist Gradient Boosting,0.96,7716,13,76,195,773,0.9375,0.7195571955719557,0.81419624217119
Hist Gradient Boosting,0.97,7718,11,81,190,821,0.945273631840796,0.7011070110701108,0.8050847457627118
Hist Gradient Boosting,0.98,7718,11,87,184,881,0.9435897435897436,0.6789667896678967,0.7896995708154506
Hist Gradient Boosting,0.99,7721,8,99,172,998,0.9555555555555556,0.6346863468634686,0.7627494456762749
