model,threshold,true_negatives,false_positives,false_negatives,true_positives,business_cost,precision,recall,f1
Logistic Regression,0.21,5098,2631,11,260,2741,0.08993427879626427,0.959409594095941,0.1644528779253637
Logistic Regression,0.22,5191,2538,12,259,2658,0.09259921344297461,0.955719557195572,0.16883963494132986
Logistic Regression,0.23,5281,2448,12,259,2568,0.09567787218322867,0.955719557195572,0.17394224311618536
Logistic Regression,0.24,5357,2372,12,259,2492,0.0984416571645762,0.955719557195572,0.17849758787043418
Logistic Regression,0.25,5431,2298,12,259,2418,0.10129057489245209,0.955719557195572,0.18316831683168316
Logistic Regression,0.26,5514,2215,15,256,2365,0.10360178065560502,0.9446494464944649,0.18672501823486506
Logistic Regression,0.27,5591,2138,18,253,2318,0.10581346716854872,0.933579335793358,0.19008264462809918
Logistic Regression,0.28,5655,2074,20,251,2274,0.10795698924731183,0.9261992619926199,0.1933744221879815
Logistic Regression,0.29,5716,2013,20,251,2213,0.11086572438162544,0.9261992619926199,0.1980276134122288
Logistic Regression,0.3,5769,1960,21,250,2170,0.11312217194570136,0.922509225092251,0.2015316404675534
Logistic Regression,0.31,5831,1898,22,249,2118,0.1159757801583605,0.9188191881918819,0.20595533498759305
Logistic Regression,0.32,5892,1837,22,249,2057,0.11936720997123682,0.9188191881918819,0.21128553245651252
Logistic Regression,0.33,5940,1789,22,249,2009,0.12217860647693818,0.9188191881918819,0.21567778258986575
Logistic Regression,0.34,5988,1741,22,249,1961,0.12512562814070352,0.9188191881918819,0.22025652366209642
Logistic Regression,0.35,6036,1693,23,248,1923,0.12776919113858837,0.915129151291513,0.22423146473779385
Logistic Regression,0.36,6086,1643,23,248,1873,0.13114754098360656,0.915129151291513,0.2294172062904718
Logistic Regression,0.37,6130,1599,23,248,1829,0.13427179209528967,0.915129151291513,0.23418319169027385
Logistic Regression,0.38,6178,1551,25,246,1801,0.13689482470784642,0.9077490774907749,0.2379110251450677
Logistic Regression,0.39,6222,1507,26,245,1767,0.13984018264840184,0.9040590405904059,0.2422145328719723
Logistic Regression,0.4,6266,1463,27,244,1733,0.14294083186877563,0.9003690036900369,0.24671385237613752
Logistic Regression,0.41,6310,1419,27,244,1689,0.14672279013830428,0.9003690036900369,0.25232678386763185
Logistic Regression,0.42,6349,1380,28,243,1660,0.14972273567467653,0.8966789667896679,0.2565997888067582
Logistic Regression,0.43,6401,1328,29,242,1618,0.15414012738853503,0.8929889298892989,0.26290059750135797
Logistic Regression,0.44,6440,1289,32,239,1609,0.15641361256544503,0.8819188191881919,0.26570316842690384
