loss,pr_auc,roc_auc,precision,recall,val_loss,val_pr_auc,val_roc_auc,val_precision,val_recall,lr
0.5691883563995361,0.21274010837078094,0.8069379329681396,0.06914893537759781,0.8387096524238586,0.5982865691184998,0.5344340801239014,0.9247640371322632,0.0886792466044426,0.8703703880310059,0.001
0.4322270452976227,0.3479118347167969,0.8963338732719421,0.11821085959672928,0.8525345325469971,0.4752950966358185,0.5676389932632446,0.9381797313690186,0.12938004732131958,0.8888888955116272,0.001
0.3675141930580139,0.4100721776485443,0.926127552986145,0.15224358439445496,0.8755760192871094,0.3882313668727875,0.6118859052658081,0.9449056386947632,0.15488214790821075,0.8518518805503845,0.001
0.36881959438323975,0.3795836567878723,0.9227597117424011,0.15258409082889557,0.8571428656578064,0.38434064388275146,0.6370990872383118,0.9537935256958008,0.1488095223903656,0.9259259104728699,0.001
0.34233561158180237,0.4220755100250244,0.9341970682144165,0.17148014903068542,0.8755760192871094,0.3824119567871094,0.647188663482666,0.9511463046073914,0.14939025044441223,0.9074074029922485,0.001
0.32048606872558594,0.4685104489326477,0.9430473446846008,0.1678023785352707,0.9078341126441956,0.34161704778671265,0.6764483451843262,0.9550153017044067,0.1627907007932663,0.9074074029922485,0.001
0.3203122317790985,0.47995585203170776,0.9433685541152954,0.1835383176803589,0.8940092325210571,0.3501226007938385,0.6547951698303223,0.9536678194999695,0.1666666716337204,0.9074074029922485,0.001
0.3232717514038086,0.44717517495155334,0.9419096112251282,0.1818181872367859,0.8940092325210571,0.3721286654472351,0.5985868573188782,0.9466724395751953,0.1538461595773697,0.9259259104728699,0.001
0.3031993806362152,0.5340362787246704,0.9490464329719543,0.18833652138710022,0.9078341126441956,0.3506438434123993,0.6744029521942139,0.9518110752105713,0.16333332657814026,0.9074074029922485,0.001
0.3030203878879547,0.4723057746887207,0.9487583041191101,0.18642447888851166,0.8986175060272217,0.2704434096813202,0.6689935922622681,0.9545302391052246,0.20600858330726624,0.8888888955116272,0.001
0.3047807514667511,0.4823915362358093,0.9489763975143433,0.19779115915298462,0.9078341126441956,0.3154226541519165,0.6647173166275024,0.9584770798683167,0.17770035564899445,0.9444444179534912,0.001
0.2842501401901245,0.5217607021331787,0.9559990763664246,0.19837233424186707,0.8986175060272217,0.28488749265670776,0.663137674331665,0.9514456987380981,0.20085470378398895,0.8703703880310059,0.001
0.2686213552951813,0.5870479345321655,0.9603368639945984,0.19856704771518707,0.8940092325210571,0.2718149423599243,0.6735209822654724,0.9544463157653809,0.2085106372833252,0.9074074029922485,0.001
0.2885226905345917,0.5054597854614258,0.953544020652771,0.1981707364320755,0.8986175060272217,0.31353676319122314,0.6998996734619141,0.9564467668533325,0.17454545199871063,0.8888888955116272,0.0005
0.2943193018436432,0.5194913148880005,0.9521443843841553,0.19855967164039612,0.8894008994102478,0.3206181228160858,0.6937856674194336,0.9558178186416626,0.1808510571718216,0.9444444179534912,0.0005
0.2728475332260132,0.573911726474762,0.9596402645111084,0.19648094475269318,0.9262672662734985,0.28283578157424927,0.6610773801803589,0.9520866274833679,0.2094017118215561,0.9074074029922485,0.0005
0.2613838016986847,0.6088162064552307,0.9634150266647339,0.2204899787902832,0.9124423861503601,0.29902419447898865,0.705506443977356,0.952799379825592,0.19183672964572906,0.8703703880310059,0.0005
0.28093239665031433,0.520946204662323,0.9570890665054321,0.21706263720989227,0.9262672662734985,0.2728157043457031,0.6879303455352783,0.953589916229248,0.2062780261039734,0.8518518805503845,0.0005
0.2608721852302551,0.6103178858757019,0.9630398154258728,0.21329046785831451,0.9170507192611694,0.28338977694511414,0.7244395613670349,0.9577404260635376,0.20000000298023224,0.9259259104728699,0.0005
0.2485712170600891,0.5903151035308838,0.9665389657020569,0.21375662088394165,0.9308755993843079,0.23850461840629578,0.7068674564361572,0.9533563852310181,0.24598930776119232,0.8518518805503845,0.0005
0.2824561595916748,0.5325077772140503,0.9572560787200928,0.22743259370326996,0.8940092325210571,0.24375391006469727,0.6988013982772827,0.955386757850647,0.23232322931289673,0.8518518805503845,0.0005
0.2475965917110443,0.5706126689910889,0.9666072130203247,0.22540046274662018,0.9078341126441956,0.26310044527053833,0.6824659109115601,0.9512542486190796,0.22439023852348328,0.8518518805503845,0.0005
0.26990458369255066,0.5648932456970215,0.9602574706077576,0.21019108593463898,0.9124423861503601,0.2542029619216919,0.6938785314559937,0.9538953900337219,0.223300963640213,0.8518518805503845,0.0005
0.2669896185398102,0.5802050828933716,0.9614395499229431,0.2247191071510315,0.921658992767334,0.2673257291316986,0.7065035104751587,0.9559077620506287,0.21238937973976135,0.8888888955116272,0.0005
0.2543719410896301,0.5942716598510742,0.9650894403457642,0.21739129722118378,0.8986175060272217,0.2602883577346802,0.7091890573501587,0.956063449382782,0.2216981202363968,0.8703703880310059,0.0005
0.2537257671356201,0.5854535102844238,0.9647126197814941,0.21677559614181519,0.9170507192611694,0.24620650708675385,0.683361828327179,0.9523860812187195,0.23589743673801422,0.8518518805503845,0.0005
0.2620214521884918,0.6202174425125122,0.962932825088501,0.2230941653251648,0.9170507192611694,0.24694517254829407,0.7349286079406738,0.9591898918151855,0.22748814523220062,0.8888888955116272,0.00025
0.2420947104692459,0.6241517066955566,0.9682759642601013,0.2381516546010971,0.9262672662734985,0.24500267207622528,0.7090495824813843,0.9547098875045776,0.2385786771774292,0.8703703880310059,0.00025
0.24762745201587677,0.6171486377716064,0.9672071933746338,0.22519509494304657,0.9308755993843079,0.23009586334228516,0.6995237469673157,0.9560155868530273,0.2513369023799896,0.8703703880310059,0.00025
0.23604023456573486,0.6162446141242981,0.970194399356842,0.2459627389907837,0.9124423861503601,0.23559652268886566,0.7096556425094604,0.9564647078514099,0.2447916716337204,0.8703703880310059,0.00025
0.24883992969989777,0.5756163001060486,0.9663753509521484,0.23337222635746002,0.921658992767334,0.2325206696987152,0.7252347469329834,0.958315372467041,0.24736842513084412,0.8703703880310059,0.00025
0.24512630701065063,0.6679003238677979,0.9676704406738281,0.2325855940580368,0.9078341126441956,0.22003117203712463,0.7315765023231506,0.9586448669433594,0.2568306028842926,0.8703703880310059,0.00025
0.24912206828594208,0.6055794954299927,0.9662091732025146,0.2251732051372528,0.8986175060272217,0.23787158727645874,0.705964207649231,0.9571475386619568,0.23076923191547394,0.8888888955116272,0.00025
0.24358586966991425,0.6156303286552429,0.9678057432174683,0.23786982893943787,0.9262672662734985,0.2343069612979889,0.6971637606620789,0.9565844535827637,0.23880596458911896,0.8888888955116272,0.00025
0.2412479966878891,0.6298028230667114,0.9683400392532349,0.23361144959926605,0.9032257795333862,0.2319774627685547,0.7081433534622192,0.9569857716560364,0.23999999463558197,0.8888888955116272,0.000125
0.23996049165725708,0.6360329389572144,0.9691139459609985,0.24500000476837158,0.9032257795333862,0.23779922723770142,0.7046416401863098,0.957177460193634,0.23999999463558197,0.8888888955116272,0.000125
0.2284802943468094,0.6568082571029663,0.9719071388244629,0.21908894181251526,0.9308755993843079,0.24297259747982025,0.7229152917861938,0.9575546979904175,0.23188406229019165,0.8888888955116272,0.000125
0.24744457006454468,0.6445983648300171,0.96700519323349,0.22860492765903473,0.8986175060272217,0.2419472187757492,0.7185609340667725,0.9572193622589111,0.2341463416814804,0.8888888955116272,0.000125
0.24461278319358826,0.6122732162475586,0.9671691060066223,0.22857142984867096,0.8847926259040833,0.24542371928691864,0.7046449184417725,0.9558359384536743,0.22705313563346863,0.8703703880310059,0.000125
0.23993852734565735,0.6251575350761414,0.968968391418457,0.23820754885673523,0.9308755993843079,0.2412520945072174,0.7172640562057495,0.9580758810043335,0.2341463416814804,0.8888888955116272,0.000125
0.23722758889198303,0.6190768480300903,0.9697247743606567,0.23329424858093262,0.9170507192611694,0.23733772337436676,0.7219681143760681,0.9578782320022583,0.23383083939552307,0.8703703880310059,0.000125
