threshold,precision,recall,f1,false_negative_rate,false_positives,false_negatives,cost
0.01,0.12211981566820276,0.9814814814814815,0.21721311475409835,0.018518518518518517,381,1,391
0.02,0.20078740157480315,0.9444444444444444,0.33116883116883117,0.05555555555555555,203,3,233
0.03,0.20078740157480315,0.9444444444444444,0.33116883116883117,0.05555555555555555,203,3,233
0.04,0.20078740157480315,0.9444444444444444,0.33116883116883117,0.05555555555555555,203,3,233
0.05,0.4536082474226804,0.8148148148148148,0.5827814569536424,0.18518518518518517,53,10,153
0.060000000000000005,0.4536082474226804,0.8148148148148148,0.5827814569536424,0.18518518518518517,53,10,153
0.06999999999999999,0.4536082474226804,0.8148148148148148,0.5827814569536424,0.18518518518518517,53,10,153
0.08,0.4536082474226804,0.8148148148148148,0.5827814569536424,0.18518518518518517,53,10,153
0.09,0.4536082474226804,0.8148148148148148,0.5827814569536424,0.18518518518518517,53,10,153
0.09999999999999999,0.4536082474226804,0.8148148148148148,0.5827814569536424,0.18518518518518517,53,10,153
0.11,0.5942028985507246,0.7592592592592593,0.6666666666666666,0.24074074074074073,28,13,158
0.12,0.5942028985507246,0.7592592592592593,0.6666666666666666,0.24074074074074073,28,13,158
0.13,0.5942028985507246,0.7592592592592593,0.6666666666666666,0.24074074074074073,28,13,158
0.14,0.5942028985507246,0.7592592592592593,0.6666666666666666,0.24074074074074073,28,13,158
0.15000000000000002,0.5942028985507246,0.7592592592592593,0.6666666666666666,0.24074074074074073,28,13,158
0.16,0.5942028985507246,0.7592592592592593,0.6666666666666666,0.24074074074074073,28,13,158
0.17,0.5942028985507246,0.7592592592592593,0.6666666666666666,0.24074074074074073,28,13,158
0.18000000000000002,0.5942028985507246,0.7592592592592593,0.6666666666666666,0.24074074074074073,28,13,158
0.19,0.5942028985507246,0.7592592592592593,0.6666666666666666,0.24074074074074073,28,13,158
0.2,0.5942028985507246,0.7592592592592593,0.6666666666666666,0.24074074074074073,28,13,158
0.21000000000000002,0.5942028985507246,0.7592592592592593,0.6666666666666666,0.24074074074074073,28,13,158
0.22,0.5942028985507246,0.7592592592592593,0.6666666666666666,0.24074074074074073,28,13,158
0.23,0.5942028985507246,0.7592592592592593,0.6666666666666666,0.24074074074074073,28,13,158
0.24000000000000002,0.5942028985507246,0.7592592592592593,0.6666666666666666,0.24074074074074073,28,13,158
0.25,0.5942028985507246,0.7592592592592593,0.6666666666666666,0.24074074074074073,28,13,158
0.26,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.27,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.28,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.29000000000000004,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.3,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.31,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.32,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.33,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.34,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.35000000000000003,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.36000000000000004,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.37,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.38,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.39,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.4,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.41000000000000003,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.42000000000000004,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.43,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.44,0.6981132075471698,0.6851851851851852,0.6915887850467289,0.3148148148148148,16,17,186
0.45,0.8285714285714286,0.5370370370370371,0.651685393258427,0.46296296296296297,6,25,256
0.46,0.8285714285714286,0.5370370370370371,0.651685393258427,0.46296296296296297,6,25,256
0.47000000000000003,0.8285714285714286,0.5370370370370371,0.651685393258427,0.46296296296296297,6,25,256
0.48000000000000004,0.8285714285714286,0.5370370370370371,0.651685393258427,0.46296296296296297,6,25,256
0.49,0.8285714285714286,0.5370370370370371,0.651685393258427,0.46296296296296297,6,25,256
0.5,0.8285714285714286,0.5370370370370371,0.651685393258427,0.46296296296296297,6,25,256
0.51,0.8709677419354839,0.5,0.6352941176470588,0.5,4,27,274
0.52,0.8709677419354839,0.5,0.6352941176470588,0.5,4,27,274
0.53,0.8709677419354839,0.5,0.6352941176470588,0.5,4,27,274
0.54,0.8709677419354839,0.5,0.6352941176470588,0.5,4,27,274
0.55,0.8709677419354839,0.5,0.6352941176470588,0.5,4,27,274
0.56,0.8709677419354839,0.5,0.6352941176470588,0.5,4,27,274
0.5700000000000001,0.8709677419354839,0.5,0.6352941176470588,0.5,4,27,274
0.5800000000000001,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.59,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.6,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.61,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.62,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.63,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.64,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.65,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.66,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.67,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.68,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.6900000000000001,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.7000000000000001,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.7100000000000001,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.72,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.73,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.74,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.75,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.76,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.77,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.78,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.79,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.8,0.9583333333333334,0.42592592592592593,0.5897435897435898,0.5740740740740741,1,31,311
0.81,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.8200000000000001,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.8300000000000001,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.8400000000000001,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.85,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.86,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.87,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.88,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.89,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.9,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.91,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.92,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.93,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.9400000000000001,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.9500000000000001,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.9600000000000001,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.97,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.98,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
0.99,1.0,0.35185185185185186,0.5205479452054794,0.6481481481481481,0,35,350
